,pos,words
11871,"Substantiv, maskulin",Fanklub
11872,"Substantiv, feminin",Identifikation
11873,"Substantiv, feminin",Scientology
11874,Adjektiv,umgangssprachlich
11875,Adjektiv,vorteilhaft
11876,"Substantiv, Neutrum",Kunsthandwerk
11877,"Substantiv, Neutrum",Sparbuch
11878,"Substantiv, maskulin",Hooligan
11879,Adjektiv,sprichwoertlich
11880,schwaches Verb,schmaelern
11881,"Substantiv, maskulin",Tiefpunkt
11882,"Substantiv, maskulin",Fluggast
11883,starkes Verb,herunterladen
11884,"Substantiv, maskulin",Hochwasserschutz
11885,"Substantiv, maskulin",Statistiker
11886,Adjektiv,pflegebeduerftig
11887,Adjektiv,dreidimensional
11888,"Substantiv, maskulin",Saengerbund
11889,"Substantiv, feminin",Zucht
11890,"Substantiv, feminin",Zwischenrunde
11891,schwaches Verb,spucken
11892,"Substantiv, maskulin",Tormann
11893,Adverb,herbei
11894,[],Luebecker
11895,"Substantiv, maskulin, oder Substantiv, feminin",Tsunami
11896,"Substantiv, feminin",Leckerei
11897,"Substantiv, feminin",Verwarnung
11898,"Substantiv, feminin",Brutalitaet
11899,"Substantiv, maskulin",Spot
11900,"Substantiv, feminin",Bereitstellung
11901,Adjektiv,kompromisslos
11902,"Substantiv, Neutrum",Punktspiel
11903,"Substantiv, Neutrum",Klubhaus
11904,"Substantiv, maskulin",Jahresueberschuss
11905,Adjektiv,stimmberechtigt
11906,"Substantiv, maskulin",Jahrmarkt
11907,"Substantiv, maskulin",Umschlag
11908,"Substantiv, maskulin",Armenier
11909,"Substantiv, maskulin",Spitzenpolitiker
11910,"Substantiv, feminin",Augenhoehe
11911,schwaches Verb,muehen
11912,"Substantiv, maskulin",Kampfgeist
11913,schwaches Verb,dehnen
11914,"Substantiv, feminin",Woge
11915,"Substantiv, maskulin",Ordner
11916,Adjektiv,analytisch
11917,"Substantiv, feminin",Erloesung
11918,"Substantiv, feminin",Klosterkirche
11919,"Substantiv, maskulin",Frauenfuszball
11920,"Substantiv, feminin",Weltausstellung
11921,"Substantiv, feminin",Austragung
11922,schwaches Verb,fiebern
11923,Adjektiv,innerparteilich
11924,"['starkes Verb', 'schwaches Verb']",winden
11925,"['Substantiv, feminin', 'Substantiv, feminin']",Kippe
11926,Adjektiv,tibetisch
11927,"Substantiv, Neutrum",Stadtmarketing
11928,"Substantiv, maskulin",Bundesumweltminister
11929,"Substantiv, maskulin",Knecht
11930,starkes Verb,heranwachsen
11931,"Substantiv, Neutrum",Sportfest
11932,Adverb,durchwegs
11933,[],saeumen
11934,Adjektiv,voelkerrechtlich
11935,"['Substantiv, feminin', 'Substantiv, feminin']",Weihe
11936,starkes Verb,bemessen
11937,"['Substantiv, Neutrum', 'Substantiv, maskulin, oder Substantiv, Neutrum', 'Substantiv, maskulin']",Blei
11938,[],komponiert
11939,schwaches Verb,praezisieren
11940,Adjektiv,pessimistisch
11941,[],Goettinger
11942,"Substantiv, maskulin",Luftverkehr
11943,"Substantiv, maskulin",Rennstall
11944,"Substantiv, feminin",Gesetzesaenderung
11945,"Substantiv, maskulin",Bankier
11946,"Substantiv, feminin",Selbstbestimmung
11947,Adjektiv,maerchenhaft
11948,"Substantiv, Neutrum",Verwaltungsgebaeude
11949,unregelmäßiges Verb,vorbeigehen
11950,"Substantiv, feminin",Jacht
11951,"Substantiv, feminin",Regierungsbildung
11952,"Substantiv, feminin",Perfektion
11953,starkes Verb,spinnen
11954,"['Substantiv, maskulin', 'Substantiv, Neutrum', 'Substantiv, maskulin']",Nickel
11955,Adjektiv,zeitlos
11956,"Substantiv, feminin",Eroeffnungsfeier
11957,starkes Verb,davonkommen
11958,"Substantiv, maskulin",Hecht
11959,Adjektiv,unkompliziert
11960,starkes Verb,ausgraben
11961,"Substantiv, feminin",Posaune
11962,"Substantiv, feminin",Favoritenrolle
11963,Adjektiv,sonderbar
11964,"Substantiv, feminin",Machenschaft
11965,"Substantiv, feminin",Klausel
11966,schwaches Verb,zuspitzen
11967,"Substantiv, maskulin",Kamm
11968,schwaches Verb,aufleben
11969,"Substantiv, Neutrum",Bundesverdienstkreuz
11970,"Substantiv, Neutrum",Unbehagen
11971,[],anhaengen
11972,"Substantiv, maskulin",Streifzug
11973,Adverb,schlussendlich
11974,"Substantiv, maskulin",Haupteingang
11975,"Substantiv, maskulin",Bauplatz
11976,"Substantiv, feminin",Heiterkeit
11977,"Substantiv, feminin",Germanistik
11978,"Substantiv, feminin",Schulgemeinde
11979,"Substantiv, maskulin",Spielmannszug
11980,"Substantiv, maskulin",Wechselkurs
11981,word not found,Wolfsberg
11982,unregelmäßiges Verb,missverstehen
11983,"Substantiv, feminin",Mitleidenschaft
11984,"Substantiv, feminin",Wiedergabe
11985,"Substantiv, feminin",Loge
11986,"Substantiv, feminin",Universitaetsklinik
11987,"Substantiv, feminin",Birne
11988,"Substantiv, feminin",Ansage
11989,Adjektiv,temperamentvoll
11990,"Substantiv, feminin",Chirurgie
11991,"Substantiv, feminin",Sicherheitsbehoerde
11992,"Substantiv, feminin",Lebensbedingung
11993,Adjektiv,ausgemacht
11994,schwaches Verb,erwirken
11995,"Substantiv, maskulin",Binnenmarkt
11996,starkes Verb,aufschieben
11997,Adjektiv,empfehlenswert
11998,Adjektiv,bodenstaendig
11999,"Substantiv, maskulin",Flyer
12000,"Substantiv, maskulin",Warner
12001,[],uebrigbleiben
12002,"Substantiv, feminin",Urteilsbegruendung
12003,schwaches Verb,fachen
12004,"Substantiv, maskulin",Nachbarort
12005,Adjektiv,restriktiv
12006,unregelmäßiges Verb,hingehen
12007,"Substantiv, Neutrum",Pfarrzentrum
12008,Adjektiv,chronologisch
12009,[],fasziniert
12010,Adverb,brutto
12011,"Substantiv, maskulin",Elfer
12012,"['Substantiv, feminin', 'Substantiv, feminin']",Unterstellung
12013,[],koepfig
12014,"['Substantiv, maskulin', 'Substantiv, feminin']",Blatter
12015,"['Substantiv, feminin', 'None']",Schanze
12016,"Substantiv, maskulin",Rentenmarkt
12017,Adverb,allseits
12018,"Substantiv, feminin",Nebenrolle
12019,Adjektiv,gnaedig
12020,Adjektiv,gesondert
12021,"['schwaches Verb', 'schwaches Verb']",sacken
12022,Adjektiv,unkontrolliert
12023,"Substantiv, Neutrum",Durchschnittsalter
12024,"Substantiv, feminin",Rockmusik
12025,Adjektiv,zwanziger
12026,"Substantiv, Neutrum",Kinderprogramm
12027,"Substantiv, maskulin",Haltepunkt
12028,schwaches Verb,spendieren
12029,schwaches Verb,verirren
12030,"Substantiv, maskulin",Maertyrer
12031,"Substantiv, maskulin",Knackpunkt
12032,"Substantiv, maskulin",Markgraf
12033,"Substantiv, feminin",Entsendung
12034,"substantiviertes Adjektiv, feminin",Industrielle
12035,Adjektiv,abrufbar
12036,"Substantiv, maskulin",Groschen
12037,"Substantiv, maskulin",Seniorennachmittag
12038,"Substantiv, feminin",Kapitulation
12039,"Substantiv, maskulin",Tatbestand
12040,"Substantiv, feminin",Einwanderung
12041,"Substantiv, maskulin",Bundesauszenminister
12042,schwaches Verb,anprangern
12043,"Substantiv, feminin",Redakteurin
12044,"Substantiv, feminin",Ortsdurchfahrt
12045,schwaches Verb,interviewen
12046,"Substantiv, maskulin",Ausnahmefall
12047,[],passiert
12048,"Substantiv, feminin",Bluttat
12049,starkes Verb,abfangen
12050,"Substantiv, Neutrum",Regierungsmitglied
12051,starkes Verb,herhalten
12052,"Substantiv, feminin",Festwoche
12053,schwaches Verb,handhaben
12054,"Substantiv, Neutrum",Landestheater
12055,unregelmäßiges Verb,versenden
12056,"Substantiv, feminin",Entzuendung
12057,"Substantiv, maskulin",Fundamentalist
12058,"Substantiv, Neutrum",California
12059,[],ueberfluten
12060,"Substantiv, feminin",Legion
12061,schwaches Verb,verwahren
12062,"Substantiv, feminin",Eingliederung
12063,[],Umdenken
12064,"['Eigenname', 'Substantiv, maskulin']",Stifter
12065,[],erzwungen
12066,Adjektiv,quadratisch
12067,schwaches Verb,umarmen
12068,Adjektiv,spekulativ
12069,[],auslaufend
12070,"Substantiv, maskulin",Hinterhof
12071,"Substantiv, feminin",Speisekarte
12072,"Substantiv, maskulin",Blumenstrausz
12073,"Substantiv, feminin",Kulturlandschaft
12074,"Substantiv, feminin",Spielstaette
12075,"Substantiv, feminin",Schlussminute
12076,Adjektiv,zauberhaft
12077,"Substantiv, maskulin",Oberkoerper
12078,"Substantiv, maskulin",Rubel
12079,"Substantiv, feminin",Farce
12080,"Substantiv, feminin",Taeuschung
12081,schwaches Verb,freistellen
12082,Adjektiv,dreimalig
12083,Zahlwort,sechsmal
12084,"Substantiv, maskulin",Fuszballplatz
12085,"Substantiv, feminin",Kreation
12086,Adjektiv,praeventiv
12087,"Substantiv, maskulin",Skeptiker
12088,"Substantiv, Neutrum",Gerede
12089,"Substantiv, maskulin",Verzehr
12090,Adjektiv,lueckenlos
12091,[],entschuldigt
12092,"Substantiv, feminin",Aggressivitaet
12093,Adjektiv,boesartig
12094,Adjektiv,primitiv
12095,"Substantiv, maskulin",Jugendleiter
12096,"Substantiv, Neutrum",Kraftfahrzeug
12097,"Substantiv, Neutrum",Mineralwasser
12098,Adjektiv,integrativ
12099,schwaches Verb,einschuechtern
12100,"['Adjektiv', 'Substantiv, maskulin']",Hannoveraner
12101,Adjektiv,behoerdlich
12102,"Substantiv, maskulin",Fortbestand
12103,"Substantiv, feminin",Windkraftanlage
12104,schwaches Verb,aufatmen
12105,"Substantiv, maskulin",Finanzsenator
12106,"Substantiv, feminin",Betonung
12107,"Substantiv, maskulin",Hohn
12108,schwaches Verb,anfragen
12109,"Substantiv, maskulin",Gesundheitsminister
12110,"Substantiv, maskulin",Achter
12111,"Substantiv, feminin",Fracht
12112,"Substantiv, feminin",Bekanntheit
12113,"Substantiv, feminin",Staatsangehoerigkeit
12114,"Substantiv, maskulin",Beitragssatz
12115,Adjektiv,zumutbar
12116,schwaches Verb,androhen
12117,"Substantiv, feminin",Rechenschaft
12118,"Substantiv, feminin",Sonde
12119,Adverb,werktags
12120,"Substantiv, feminin",Kantine
12121,"Substantiv, Neutrum",Mosaik
12122,"Substantiv, maskulin",Skinhead
12123,"Substantiv, feminin",Verhaltensweise
12124,"Substantiv, maskulin",Dorfbewohner
12125,[],Juengere
12126,"Substantiv, feminin",Wachstumsrate
12127,"Substantiv, feminin",Zweigstelle
12128,Adjektiv,beschaulich
12129,"Substantiv, feminin",Weinprobe
12130,"['Substantiv, feminin', 'Substantiv, maskulin', 'Adjektiv']",Regensburger
12131,"Substantiv, feminin",Letter
12132,"Substantiv, Neutrum",Enzym
12133,"Substantiv, feminin",Rueckmeldung
12134,"Substantiv, Neutrum",Gelenk
12135,starkes Verb,abgewinnen
12136,"Substantiv, feminin",Erotik
12137,Adjektiv,depressiv
12138,Adjektiv,einwoechig
12139,"Substantiv, feminin",Bruderschaft
12140,"Substantiv, feminin",Spezies
12141,"Substantiv, maskulin",Poet
12142,"Substantiv, maskulin",Gegenkandidat
12143,"['Konjunktion', 'Adverb']",jedoch
12144,"Substantiv, feminin",Frische
12145,Adjektiv,ergebnislos
12146,"Substantiv, feminin",Gurke
12147,"Substantiv, feminin",Arroganz
12148,"Substantiv, feminin",Musikkapelle
12149,Adjektiv,kinderlos
12150,Adjektiv,angestammt
12151,"Substantiv, Neutrum",Bilderbuch
12152,"Substantiv, maskulin",Baumarkt
12153,"Substantiv, feminin",Komplikation
12154,"Substantiv, maskulin",Dinosaurier
12155,Adjektiv,lesbar
12156,Adjektiv,unbeschwert
12157,Adjektiv,mitverantwortlich
12158,"Substantiv, Neutrum",Bundeskanzleramt
12159,"['Substantiv, maskulin', 'Substantiv, maskulin']",Skater
12160,"Substantiv, feminin",Bundeshauptstadt
12161,"Substantiv, feminin",Kulturpolitik
12162,"Substantiv, feminin",Adventszeit
12163,"['Substantiv, feminin', 'Eigenname']",Psyche
12164,"Substantiv, feminin",Benennung
12165,"Substantiv, Neutrum",Konzil
12166,word not found,Dorffest
12167,"Substantiv, Neutrum",Koenigshaus
12168,"Substantiv, Neutrum",Stadtfest
12169,"Substantiv, maskulin",Darm
12170,Adjektiv,derb
12171,"Substantiv, Neutrum",Arrondissement
12172,schwaches Verb,brillieren
12173,"['Substantiv, maskulin', 'Substantiv, Neutrum']",Pony
12174,Adjektiv,zweifelsfrei
12175,[],Muenchener
12176,Adjektiv,pfiffig
12177,Adjektiv,serienmaeszig
12178,,Tai
12179,"Substantiv, feminin",Schieszerei
12180,"Substantiv, maskulin",Reflex
12181,schwaches Verb,befreunden
12182,"Substantiv, maskulin",Anteilseigner
12183,"Substantiv, Neutrum",Christkind
12184,Adjektiv,wirr
12185,"Substantiv, feminin",Weltspitze
12186,Adjektiv,ungenau
12187,schwaches Verb,aneignen
12188,"Substantiv, feminin",Grausamkeit
12189,schwaches Verb,quittieren
12190,schwaches Verb,strukturieren
12191,"['Adjektiv', 'Substantiv, maskulin', 'Substantiv, maskulin']",Essener
12192,Adjektiv,feministisch
12193,schwaches Verb,verschwenden
12194,schwaches Verb,mitreden
12195,"Substantiv, maskulin",Zinssatz
12196,"Substantiv, Neutrum",Karussell
12197,"Substantiv, Neutrum",Nachholspiel
12198,"Substantiv, feminin",Biomasse
12199,"Substantiv, Neutrum",Ion
12200,Adjektiv,schlagkraeftig
12201,"Substantiv, feminin",Frueh
12202,Adjektiv,feurig
12203,"Substantiv, Neutrum",Pedal
12204,"Substantiv, feminin",Charta
12205,[],vermutet
12206,"Substantiv, feminin",Einmischung
12207,Adjektiv,stimmig
12208,"Substantiv, Neutrum",Violoncello
12209,"Substantiv, Neutrum",Ranking
12210,[],inline
12211,"Substantiv, Neutrum",Marihuana
12212,"substantiviertes Adjektiv, feminin",Schwerverletzte
12213,"Substantiv, feminin",Willkuer
12214,"Substantiv, feminin",Vita
12215,"Substantiv, feminin",Strophe
12216,Adjektiv,hauchduenn
12217,"Substantiv, feminin",Spitzenposition
12218,"Substantiv, maskulin",Drogenhandel
12219,"Substantiv, feminin",Ferse
12220,"Substantiv, maskulin",Altmeister
12221,[],schleswig
12222,"Substantiv, maskulin",Mechaniker
12223,"Substantiv, maskulin",Dezernent
12224,"Substantiv, maskulin",Konzertsaal
12225,Adjektiv,Hunsruecker
12226,"Substantiv, feminin",Koenigsklasse
12227,"Substantiv, Neutrum",Schnaeppchen
12228,"Substantiv, feminin",Sequenz
12229,"Substantiv, feminin",Hauptaufgabe
12230,[],leerstehend
12231,word not found,Mistelbach
12232,"Substantiv, feminin",Diva
12233,Adjektiv,wettbewerbsfaehig
12234,"Substantiv, feminin",Blase
12235,"Substantiv, feminin",Hardware
12236,"Substantiv, Neutrum",Organisationskomitee
12237,schwaches Verb,reklamieren
12238,"Substantiv, feminin",Signatur
12239,"['Substantiv, Neutrum', 'Substantiv, maskulin']",Kristall
12240,Adjektiv,innerstaedtisch
12241,"Substantiv, maskulin",Multi
12242,word not found,Stadtpolizei
12243,[],nahegelegen
12244,schwaches Verb,firmieren
12245,"Substantiv, Neutrum",Bataillon
12246,"Substantiv, Neutrum",Programmheft
12247,"Substantiv, maskulin",Rabe
12248,Adjektiv,unfassbar
12249,"Substantiv, maskulin",Vorstandssprecher
12250,Adjektiv,ueberlegt
12251,"Substantiv, feminin",Stadtbahn
12252,"Substantiv, feminin",Vorabendmesse
12253,schwaches Verb,ansteuern
12254,schwaches Verb,auffassen
12255,"Substantiv, feminin",Matrix
12256,schwaches Verb,improvisieren
12257,"Substantiv, feminin",Lebenszeit
12258,"Substantiv, feminin",Waschmaschine
12259,schwaches Verb,ausbezahlen
12260,Adverb,dermaszen
12261,schwaches Verb,roden
12262,schwaches Verb,hungern
12263,"Substantiv, feminin",Schwachstelle
12264,"Substantiv, maskulin",Bildband
12265,"Substantiv, Neutrum",Bundeskartellamt
12266,Adjektiv,energetisch
12267,"Substantiv, maskulin",Kameramann
12268,word not found,Landesausstellung
12269,"Substantiv, maskulin",Kapellmeister
12270,Adjektiv,philippinisch
12271,"Substantiv, feminin",Ausarbeitung
12272,schwaches Verb,abfeuern
12273,"Substantiv, feminin",Gegenfahrbahn
12274,"Substantiv, maskulin",Leutnant
12275,"Substantiv, maskulin",Unfug
12276,"['Substantiv, maskulin', 'Substantiv, feminin']",Kitsch
12277,"Substantiv, Neutrum",Recycling
12278,"Substantiv, maskulin",Steuerberater
12279,Adjektiv,westeuropaeisch
12280,Adjektiv,stuendlich
12281,"Substantiv, Neutrum",Display
12282,starkes Verb,uebergreifen
12283,"Substantiv, feminin",Besitzerin
12284,schwaches Verb,einklemmen
12285,"Substantiv, Neutrum",Hospiz
12286,"Substantiv, feminin",Frauenkirche
12287,"Substantiv, feminin",Besiedlung
12288,"Substantiv, feminin",Vergroeszerung
12289,"Substantiv, feminin",Fackel
12290,Adjektiv,patriotisch
12291,"Substantiv, feminin",Oesterreicherin
12292,"substantiviertes Adjektiv, maskulin",Stadtverordneter
12293,Adjektiv,skandaloes
12294,Adjektiv,parteiintern
12295,word not found,Musikgesellschaft
12296,"Substantiv, Neutrum",Bestreben
12297,"Substantiv, maskulin",Beistand
12298,Adjektiv,vertikal
12299,"Substantiv, feminin",Sozialleistung
12300,"Substantiv, maskulin",Landesligist
12301,"Substantiv, feminin",Qualifizierung
12302,Adjektiv,steuerfrei
12303,"Substantiv, maskulin",Tennisspieler
12304,"Substantiv, maskulin",Reisefuehrer
12305,Adjektiv,bieder
12306,schwaches Verb,fuszen
12307,starkes Verb,zuruecklassen
12308,"Substantiv, feminin",Saeure
12309,"Substantiv, maskulin",Heimvorteil
12310,schwaches Verb,ernuechtern
12311,Pluralwort,Effekten
12312,"Substantiv, feminin",Weigerung
12313,"Substantiv, feminin",Psychologin
12314,Präposition,punkto
12315,"Substantiv, feminin",Verkaufsflaeche
12316,schwaches Verb,boykottieren
12317,"Substantiv, maskulin",Gedenktag
12318,"Substantiv, maskulin",Nachtragshaushalt
12319,"Substantiv, feminin",Umweltministerin
12320,"Substantiv, Neutrum",Wasserwerk
12321,"Substantiv, feminin",Naht
12322,"substantiviertes Adjektiv, feminin",Vermisste
12323,"Substantiv, maskulin",Ableger
12324,"Substantiv, feminin",Zuneigung
12325,"Substantiv, feminin",Brandursache
12326,"Substantiv, maskulin",Kirchentag
12327,starkes Verb,eingeben
12328,"Substantiv, maskulin",Este
12329,word not found,Verwaltungshaushalt
12330,"substantiviertes Adjektiv, feminin",Rechtsradikale
12331,"Substantiv, maskulin",Spatz
12332,schwaches Verb,bezichtigen
12333,Adjektiv,roemisch
12334,Adjektiv,unbefristet
12335,"['Substantiv, maskulin', 'Substantiv, maskulin']",Raser
12336,[],Tanzen
12337,"['Adjektiv', 'Substantiv, maskulin']",Aachener
12338,[],ausgetragen
12339,schwaches Verb,harren
12340,"Substantiv, Neutrum",Pult
12341,schwaches Verb,verstricken
12342,schwaches Verb,verpruegeln
12343,Adjektiv,uebermaechtig
12344,Adjektiv,nordkoreanisch
12345,"Substantiv, feminin",Staatssekretaerin
12346,"Substantiv, feminin",Police
12347,"Substantiv, maskulin",Parlamentspraesident
12348,"Substantiv, maskulin",Rettungswagen
12349,Adverb,gewissermaszen
12350,"Substantiv, maskulin",Aufruhr
12351,"Substantiv, feminin",Kerwe
12352,"Substantiv, feminin",Optimierung
12353,"Substantiv, maskulin",Groszaktionaer
12354,word not found,Hartberg
12355,schwaches Verb,aufzaehlen
12356,word not found,Fotoausstellung
12357,Adjektiv,dekorativ
12358,schwaches Verb,resignieren
12359,"Substantiv, Neutrum",Kontra
12360,"Substantiv, maskulin",Beweggrund
12361,"Substantiv, maskulin",Knall
12362,"Substantiv, feminin",Richtigkeit
12363,"Substantiv, maskulin",Untertan
12364,"Substantiv, feminin",Wirtin
12365,[],missglueckt
12366,word not found,Werbegemeinschaft
12367,"Substantiv, maskulin",Rummel
12368,Adjektiv,archaisch
12369,"Substantiv, maskulin",Speck
12370,[],Food
12371,starkes Verb,aufreiszen
12372,Adjektiv,atmosphaerisch
12373,"Substantiv, maskulin",Ausstellungsraum
12374,Adjektiv,diszipliniert
12375,"['Substantiv, Neutrum', 'Substantiv, maskulin']",Bravo
12376,"Substantiv, Neutrum",Fahrwerk
12377,"Substantiv, Neutrum",Hinterland
12378,"Substantiv, feminin",Unfaehigkeit
12379,"Substantiv, maskulin",Newcomer
12380,"Substantiv, feminin",Anschauung
12381,Adjektiv,fassungslos
12382,Adjektiv,luxurioes
12383,"Substantiv, Neutrum",Fluechtlingslager
12384,"Substantiv, feminin",Unklarheit
12385,"Substantiv, feminin",Gerte
12386,"Substantiv, maskulin",Scheich
12387,"Substantiv, maskulin",Rusz
12388,"Substantiv, feminin",Bestmarke
12389,"Substantiv, maskulin",Drahtzieher
12390,Adjektiv,stet
12391,Adjektiv,vorbestraft
12392,"['Substantiv, feminin', 'None']",Nova
12393,"Substantiv, feminin",Fahrspur
12394,[],weitergehend
12395,"Substantiv, Neutrum",Rauschgift
12396,"Substantiv, maskulin",Versorger
12397,"Substantiv, maskulin",Kremser
12398,"Substantiv, feminin",Mitbestimmung
12399,Adjektiv,fuerstlich
12400,Adverb,gemeinhin
12401,"Substantiv, maskulin",Schmutz
12402,"Substantiv, feminin",Finanzpolitik
12403,"Substantiv, feminin",Partitur
12404,"Substantiv, feminin",Staatsanleihe
12405,schwaches Verb,einreisen
12406,schwaches Verb,verschleiern
12407,"Substantiv, feminin",Komplexitaet
12408,"Substantiv, maskulin",Montagmorgen
12409,"Substantiv, Neutrum",Sportabzeichen
12410,"['Substantiv, maskulin', 'Substantiv, maskulin', 'Substantiv, maskulin']",Bug
12411,"Substantiv, maskulin",Braeutigam
12412,"Substantiv, Neutrum",Abgas
12413,schwaches Verb,broeckeln
12414,word not found,Zweitliga
12415,"Substantiv, maskulin",Marmor
12416,Adjektiv,rechtsextremistisch
12417,"Substantiv, Neutrum",Suesz
12418,"Substantiv, feminin",Osterweiterung
12419,"Substantiv, Neutrum",Eden
12420,schwaches Verb,vergnuegen
12421,"Substantiv, maskulin",Choreograf
12422,"Substantiv, maskulin",Werkstoff
12423,"Substantiv, maskulin",Lehm
12424,"Substantiv, Neutrum",Musikstueck
12425,"Substantiv, maskulin",Verschoenerungsverein
12426,"Substantiv, feminin",Lohnerhoehung
12427,schwaches Verb,ausloten
12428,"Substantiv, Neutrum",Pulver
12429,"Substantiv, Neutrum",Zeltlager
12430,"Substantiv, maskulin",Konkurrenzkampf
12431,"Substantiv, maskulin",Greis
12432,"Substantiv, maskulin",Nachholbedarf
12433,schwaches Verb,eintauchen
12434,"Substantiv, feminin",Verschmelzung
12435,"Substantiv, maskulin",Mittler
12436,Adjektiv,beheimatet
12437,Adjektiv,fuszballerisch
12438,"Substantiv, maskulin",Juror
12439,unregelmäßiges Verb,umdenken
12440,"Substantiv, maskulin",Leuchtturm
12441,"Substantiv, feminin",Lagerung
12442,"Substantiv, feminin",Pressefreiheit
12443,schwaches Verb,legitimieren
12444,"Substantiv, feminin",Walz
12445,"Substantiv, maskulin",Gefaehrte
12446,"Substantiv, maskulin",Konsul
12447,"Substantiv, feminin",Kassette
12448,"Substantiv, feminin",Dauerausstellung
12449,"Substantiv, feminin",Enkelin
12450,Adjektiv,hauseigen
12451,"Substantiv, feminin",Notbremse
12452,"Substantiv, feminin",Ausfuhr
12453,"Substantiv, feminin",Reservierung
12454,"Substantiv, feminin",Rast
12455,"Substantiv, Neutrum",Casting
12456,"Substantiv, feminin",Bauwirtschaft
12457,"Substantiv, Neutrum",Welterbe
12458,,gesehen
12459,"Substantiv, Neutrum",Neujahr
12460,[],Fasnacht
12461,Adjektiv,unangemessen
12462,Adjektiv,unwesentlich
12463,schwaches Verb,schlachten
12464,"Substantiv, feminin",Benachteiligung
12465,"Substantiv, maskulin",Loeschzug
12466,Adjektiv,lapidar
12467,"Substantiv, feminin",Bohne
12468,Adjektiv,praegnant
12469,Adjektiv,adlig
12470,"Substantiv, maskulin",Klassenraum
12471,"Substantiv, feminin",Prunksitzung
12472,"Substantiv, feminin",Karnevalsgesellschaft
12473,"Substantiv, feminin",Leuchte
12474,"Substantiv, Neutrum",Aergernis
12475,"Substantiv, feminin",Erwaermung
12476,,eingespielt
12477,starkes und schwaches Verb,gaeren
12478,"Substantiv, maskulin",Magnet
12479,"Substantiv, maskulin",Sachbearbeiter
12480,"Substantiv, feminin",Zwischenbilanz
12481,"Substantiv, feminin",Jahreshaelfte
12482,Adjektiv,totalitaer
12483,"Substantiv, feminin",Meinungsverschiedenheit
12484,"Substantiv, Neutrum",Strafmasz
12485,"Substantiv, feminin",Scheu
12486,"Substantiv, maskulin",Konvoi
12487,Adjektiv,bezeichnend
12488,schwaches Verb,einwechseln
12489,schwaches Verb,kappen
12490,Adjektiv,solo
12491,"Substantiv, feminin",Reue
12492,"Substantiv, maskulin",Augenschein
12493,Adjektiv,blitzschnell
12494,"Substantiv, maskulin",Filmpreis
12495,Adjektiv,vaeterlich
12496,Adjektiv,bleich
12497,"Substantiv, feminin",Obfrau
12498,schwaches Verb,wappnen
12499,"Substantiv, maskulin",Dieselmotor
12500,"Substantiv, feminin",Diplomarbeit
12501,schwaches Verb,bestatten
12502,"Substantiv, Neutrum",Ventil
12503,"Substantiv, feminin",Bildungseinrichtung
12504,"Substantiv, feminin",Zauberfloete
12505,"Substantiv, Neutrum, oder Substantiv, maskulin",Break
12506,"Substantiv, feminin",Energiepolitik
12507,Adjektiv,behindertengerecht
12508,Adjektiv,erprobt
12509,"Substantiv, feminin",Demokratisierung
12510,[],befreit
12511,"Substantiv, maskulin",Autoverkehr
12512,"Substantiv, maskulin",Originaltitel
12513,[],entworfen
12514,[],appelliert
12515,"Substantiv, Neutrum",Atomprogramm
12516,"Substantiv, Neutrum",Erdreich
12517,"Substantiv, maskulin",Verfassungsgerichtshof
12518,"Substantiv, feminin",Letzt
12519,unregelmäßiges Verb,zurueckbringen
12520,"Substantiv, Neutrum",Regelwerk
12521,"Substantiv, maskulin",Staatsrat
12522,"Substantiv, maskulin",Festzug
12523,"Substantiv, maskulin",Benzinpreis
12524,"Substantiv, maskulin",Tischler
12525,schwaches Verb,stricken
12526,"Substantiv, feminin",Landsgemeinde
12527,"['Substantiv, feminin', 'Substantiv, feminin']",Schnur
12528,schwaches Verb,boxen
12529,"Substantiv, maskulin, oder Substantiv, Neutrum",Download
12530,"Substantiv, feminin",Vettel
12531,"Substantiv, maskulin",Hinterkopf
12532,"Substantiv, Neutrum",Kindergartenkind
12533,Adjektiv,tendenziell
12534,"Substantiv, feminin",Torte
12535,"Substantiv, feminin",Infanterie
12536,schwaches Verb,altern
12537,"Substantiv, Neutrum",Telegramm
12538,"Substantiv, feminin",Beschaedigung
12539,"['None', 'None', 'Adjektiv']",geboten
12540,"Substantiv, maskulin",Junker
12541,"Substantiv, maskulin",Pullover
12542,"Substantiv, feminin",Sauberkeit
12543,"Substantiv, Neutrum",Kinderheim
12544,"Substantiv, Neutrum",Extrem
12545,"Substantiv, feminin",Meinungsfreiheit
12546,"Substantiv, maskulin",Literat
12547,Adjektiv,fetzig
12548,"Substantiv, maskulin",Aktienindex
12549,"Substantiv, maskulin",Schiri
12550,"Substantiv, maskulin",Kreuzzug
12551,"Substantiv, Neutrum",Bundeskabinett
12552,"Substantiv, Neutrum",Schmankerl
12553,"Substantiv, maskulin",Fraktionssprecher
12554,Adjektiv,verwoehnt
12555,schwaches Verb,austoben
12556,Adjektiv,spielfrei
12557,"Substantiv, feminin",Bausubstanz
12558,"Substantiv, feminin",Aufstiegsrunde
12559,"Substantiv, Neutrum",Finalspiel
12560,"Substantiv, maskulin",Staatsvertrag
12561,"Substantiv, maskulin",Sandstein
12562,"Substantiv, maskulin",Schulabschluss
12563,"Substantiv, maskulin",Trubel
12564,"Substantiv, maskulin",Gigant
12565,Adjektiv,kontraproduktiv
